," Это обзор цитирования для совокупности из 1490 документов.",,,,,,,,,,,,,,,,
,"Самоцитирование всех авторов исключено.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"h-индекс = 25 (Из 1490 документов, учитываемых для определения h-индекса, 25 цитировались не менее 25 раз.)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,<2017,2017,2018,2019,2020,2021,2022,2023,промежуточный итог,>2023,итого
Год публикации,Название документа,Авторы,ISSN,Название журнала,Том,Выпуск ,0,0,0,4,238,1499,2673,494,4908,0,4908
2021,"Analysis of biological methods for quarry wastewater treatment from nitrogen compounds","Pashkevich M.A., Korotaeva A.E.",22213198,"Geologiya i Geofizika Yuga Rossii",11, 4,0,0,0,0,0,0,2,0,2,0,2
2021,"Temperature regime of painted parts in awning-type drying chambers at low ambient temperatures","Yakovlev P., Prosvirina I.",17426588,"Journal of Physics: Conference Series",2131, 5,0,0,0,0,0,0,0,0,0,0,0
2021,"ΛcΛc4He and ΛcΛc4H hypernuclei","Matskevich E.E.",17426588,"Journal of Physics: Conference Series",2131, 3,0,0,0,0,0,0,0,0,0,0,0
2021,"Technology of Producing Petroleum Coking Additives to Replace Coking Coal","Kameshkov A.V., Rudko V.A., Gabdulkhakov R.R., Nazarenko M.Y., Starkov M.K., Povarov V.G., Pyagay I.N.",24701343,"ACS Omega",6, 51,0,0,0,0,0,0,2,1,3,0,3
2021,"Application of BigData technology to improve the efficiency of Arctic shelf fields development","Katysheva E.G.",17551307,"IOP Conference Series: Earth and Environmental Science",937, 4,0,0,0,0,0,0,0,0,0,0,0
2021,"Keplerite, Ca9(Ca0.5□0.5)Mg(PO4)7, a new meteoritic and terrestrial phosphate isomorphous with merrillite, Ca9NaMg(PO4)7","Britvin S.N., Galuskina I.O., Vlasenko N.S., Vereshchagin O.S., Bocharov V.N., Krzhizhanovskaya M.G., Shilovskikh V.V., Galuskin E.V., Vapnik Y., Obolonskaya E.V.",0003004X,"American Mineralogist",106, 12,0,0,0,0,0,2,0,0,2,0,2
2021,"Deformations assessment during subway escalator tunnels construction by the method of artificial freezing of soil for the stage of ice wall formation","Volokhov E.M., Mukminova D.Z.",24113336,"Journal of Mining Institute",252, 6,0,0,0,0,0,0,0,0,0,0,0
2021,"Substantiation of analytical dependences for hydraulic calculation of high-viscosity oil transportation","Nikolaev A.K., Zaripova N.А.",24113336,"Journal of Mining Institute",252, 6,0,0,0,0,0,0,2,3,5,0,5
2021,"Innovative ways to control dust and explosion safety of mine workings","Romanchenko S.B., Naganovskiy Y.K., Kornev A.V.",24113336,"Journal of Mining Institute",252, 6,0,0,0,0,0,0,4,0,4,0,4
2021,"Management of groundwater resources in transboundary territories (on the example of the Russian Federation and the Republic of Estonia)","Golovina E.I., Grebneva A.V.",24113336,"Journal of Mining Institute",252, 6,0,0,0,0,0,0,1,1,2,0,2
2021,"Development of a methodology to assess the hydrocyclone process with account of the rheological properties of the mineral slurry","Aleksandrova T.N., Potemkin V.A.",24113336,"Journal of Mining Institute",252, 6,0,0,0,0,0,0,2,0,2,0,2
2021,"Morozkinskoye gold deposit (southern Yakutia): age and ore sources","Guzev V.E., Terekhov A.V., Krymsky R.Sh., Belyatsky B.V., Molchanov A.V.",24113336,"Journal of Mining Institute",252, 6,0,0,0,0,0,0,0,0,0,0,0
2021,"Engineering-geological and geoecological aspects of formation of dry dumps on hydrodumps","Kutepov Yu.I., Kutepova N.A., Kutepov Yu.Yi., Vasileva A.D., Mukhina A.S., Smirnov R.D.",17551307,"IOP Conference Series: Earth and Environmental Science",938, 1,0,0,0,0,0,0,1,0,1,0,1
2021,"Estimating highwall miner technical condition using vibration diagnostics methods","Gerike B., Tatsiyenko V., Drozdenko Y., Artamonov P.",25550403,"E3S Web of Conferences",330, ,0,0,0,0,0,0,0,1,1,0,1
2021,"Drilling mud upward velocity modelling in Ansys CFX software","Ovsepian E.E., Leusheva E.L., Morenov V.A.",17551307,"IOP Conference Series: Earth and Environmental Science",931, 1,0,0,0,0,0,0,0,0,0,0,0
2021,"Physiologically based control of the process of gentle light awakening","Fedortsov A.B., Silivanov M.O.",17426588,"Journal of Physics: Conference Series",2127, 1,0,0,0,0,0,0,0,0,0,0,0
2021,"Numerical Modeling of Climate (on Yakutia example)","Pomortsev O.A., Kashkarov E.P., Pomortseva A.A.",17426588,"Journal of Physics: Conference Series",2090, 1,0,0,0,0,0,0,0,0,0,0,0
2021,"Substantiation of development systems and their technological parameters in the conditions of production of hard-to-recover reserves of oil-gas-condensate field","Khasanov M.M., Shagiakhmetov A.M., Osadchy D.E., Smirnov V.A.",00282448,"Neftyanoe Khozyaystvo - Oil Industry",2021, 12,0,0,0,0,0,0,1,0,1,0,1
2021,"Effect of Electron Energy Distribution Function in Plasma and Energy Dispersion of Electron Beam on the Stability of a Low-Voltage Beam Discharge","Sukhomlinov V.S., Matveev R.M., Mustafaev A.S., Pavlov V.A., Gordeev S.V.",10637842,"Technical Physics",66, 12,0,0,0,0,0,0,0,0,0,0,0
